id,timestamp,remote_addr,remote_user,hostname,time_local,request,status,body_bytes_sent,http_referer,http_user_agent,http_x_forwarded_for,time_iso8601,request_method,request_length,bytes_sent,http_referer2,request_time,upstream_connect_time,upstream_header_time,upstream_response_time,upstream_addr,upstream_status,connection,connection_requests,data.srcip,agent.ip,rule.mitre.tactic
1602,"Aug 29, 2023 @ 22:54:48.618",180.248.39.248,-,vm-director-nginx,30/Aug/2023:05:54:47 +0700,GET /auth/resources/ofl9o/login/ub/ HTTP/2.0,404,118,-,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Mobile Safari/537.36",-,2023-08-30T05:54:47+07:00,GET,77,330,-,0.002,0.001,0.002,0.002,10.45.184.148:32442,404,688614404,2,180.248.39.248,192.168.1.99,"[""non-attack""]"
1603,"Aug 29, 2023 @ 22:54:52.609",194.169.175.23,-,vm-director-nginx,30/Aug/2023:05:54:50 +0700,GET /xxl.php HTTP/1.1,404,974,www.google.com,"Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36",-,2023-08-30T05:54:50+07:00,GET,486,1224,www.google.com,0.003,0,0.002,0.002,175.45.184.47:84,404,688614660,1,194.169.175.23,192.168.1.99,"[""non-attack""]"
1604,"Aug 29, 2023 @ 22:54:52.650",103.111.137.122,-,vm-director-nginx,30/Aug/2023:05:54:51 +0700,GET /auth/resources/ofl9o/login/ub/ HTTP/2.0,404,118,-,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36",-,2023-08-30T05:54:51+07:00,GET,75,330,-,0.003,0.001,0.002,0.002,10.45.184.148:32442,404,688614670,2,103.111.137.122,192.168.1.99,"[""non-attack""]"
1605,"Aug 29, 2023 @ 22:54:54.623",182.4.134.52,-,vm-director-nginx,30/Aug/2023:05:54:52 +0700,GET /auth/resources/ofl9o/login/ub/ HTTP/2.0,404,118,-,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",-,2023-08-30T05:54:52+07:00,GET,85,330,-,0.003,0.001,0.002,0.002,10.45.184.148:32442,404,688614710,2,182.4.134.52,192.168.1.99,"[""non-attack""]"
1606,"Aug 29, 2023 @ 22:55:18.659",114.5.105.36,-,vm-director-nginx,30/Aug/2023:05:55:17 +0700,GET /auth/resources/ofl9o/login/ub/ HTTP/2.0,404,118,-,"Mozilla/5.0 (Linux; Android 11; SM-A105G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.93 Mobile Safari/537.36",-,2023-08-30T05:55:17+07:00,GET,77,330,-,0.001,0.001,0.002,0.002,10.45.184.154:32442,404,688615380,2,114.5.105.36,192.168.1.99,"[""non-attack""]"
1607,"Aug 29, 2023 @ 22:55:18.674",180.245.156.143,-,vm-director-nginx,30/Aug/2023:05:55:17 +0700,GET /auth/resources/ofl9o/login/ub/ HTTP/2.0,404,118,-,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36",-,2023-08-30T05:55:17+07:00,GET,82,330,-,0.002,0.001,0.002,0.002,10.45.184.148:32442,404,688615418,2,180.245.156.143,192.168.1.99,"[""non-attack""]"
1608,"Aug 29, 2023 @ 22:54:40.614",180.248.15.24,-,vm-director-nginx,30/Aug/2023:05:54:39 +0700,GET /auth/resources/ofl9o/login/ub/ HTTP/2.0,404,118,-,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36",-,2023-08-30T05:54:39+07:00,GET,48,330,-,0.002,0.001,0.003,0.003,10.45.184.148:32442,404,688613198,5,180.248.15.24,192.168.1.99,"[""non-attack""]"
1609,"Aug 29, 2023 @ 22:56:08.713",118.99.125.7,-,vm-director-nginx,30/Aug/2023:05:56:07 +0700,GET /auth/resources/ofl9o/login/ub/ HTTP/2.0,404,118,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36",-,2023-08-30T05:56:07+07:00,GET,78,330,-,0.003,0,0.002,0.002,10.45.184.148:32442,404,688616806,2,118.99.125.7,192.168.1.99,"[""non-attack""]"
1610,"Aug 29, 2023 @ 22:55:24.740",140.0.7.64,-,vm-director-nginx,30/Aug/2023:05:55:24 +0700,GET /auth/resources/ofl9o/login/ub/ HTTP/2.0,404,118,-,"Mozilla/5.0 (Linux; Android 13; SAMSUNG SM-A528B) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/22.0 Chrome/111.0.5563.116 Mobile Safari/537.36",-,2023-08-30T05:55:24+07:00,GET,103,330,-,0.002,0,0.003,0.003,10.45.184.148:32442,404,688615615,2,140.0.7.64,192.168.1.99,"[""non-attack""]"
1611,"Aug 29, 2023 @ 22:55:26.672",118.99.125.8,-,vm-director-nginx,30/Aug/2023:05:55:26 +0700,GET /auth/resources/ofl9o/login/ub/ HTTP/2.0,404,118,-,"Mozilla/5.0 (Linux; Android 13; SAMSUNG SM-G990E) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/22.0 Chrome/111.0.5563.116 Mobile Safari/537.36",-,2023-08-30T05:55:26+07:00,GET,123,330,-,0.003,0.001,0.002,0.002,10.45.184.154:32442,404,688615665,2,118.99.125.8,192.168.1.99,"[""non-attack""]"
1612,"Aug 29, 2023 @ 22:55:26.674",118.99.125.8,-,vm-director-nginx,30/Aug/2023:05:55:26 +0700,GET /auth/resources/ofl9o/login/ub/ HTTP/2.0,404,118,-,"Mozilla/5.0 (Linux; Android 13; SAMSUNG SM-G990E) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/22.0 Chrome/111.0.5563.116 Mobile Safari/537.36",-,2023-08-30T05:55:26+07:00,GET,39,330,-,0.002,0,0.002,0.002,10.45.184.148:32442,404,688615665,3,118.99.125.8,192.168.1.99,"[""non-attack""]"
1613,"Aug 29, 2023 @ 22:55:26.687",103.108.23.22,-,vm-director-nginx,30/Aug/2023:05:55:25 +0700,GET /assets/images/pattern/dot3.svg HTTP/2.0,404,2424,https://mmd.notrealdomain.com/assets/827c7db8/css/theme.min.css,"Mozilla/5.0 (Linux; Android 11; vivo 1904) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Mobile Safari/537.36",-,2023-08-30T05:55:25+07:00,GET,46,2681,https://mmd.notrealdomain.com/assets/827c7db8/css/theme.min.css,0.012,0.001,0.012,0.012,175.45.185.12:80,404,688615399,9,103.108.23.22,192.168.1.99,"[""non-attack""]"
1614,"Aug 29, 2023 @ 22:55:28.683",182.4.135.124,-,vm-director-nginx,30/Aug/2023:05:55:27 +0700,GET /auth/resources/ofl9o/login/ub/ HTTP/2.0,404,118,-,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36",-,2023-08-30T05:55:27+07:00,GET,83,330,-,0.002,0.001,0.003,0.003,10.45.184.148:32442,404,688615675,2,182.4.135.124,192.168.1.99,"[""non-attack""]"
1615,"Aug 29, 2023 @ 22:55:52.679",103.121.22.111,-,vm-director-nginx,30/Aug/2023:05:55:51 +0700,GET /auth/resources/ofl9o/login/ub/ HTTP/2.0,404,118,-,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Mobile Safari/537.36",-,2023-08-30T05:55:51+07:00,GET,83,330,-,0.002,0.001,0.002,0.002,10.45.184.154:32442,404,688616238,2,103.121.22.111,192.168.1.99,"[""non-attack""]"
1616,"Aug 29, 2023 @ 22:55:30.694",103.121.22.203,-,vm-director-nginx,30/Aug/2023:05:55:29 +0700,GET /auth/resources/ofl9o/login/ub/ HTTP/2.0,404,118,-,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36",-,2023-08-30T05:55:29+07:00,GET,85,330,-,0.002,0,0.001,0.001,10.45.184.154:32442,404,688615732,2,103.121.22.203,192.168.1.99,"[""non-attack""]"
1617,"Aug 29, 2023 @ 22:55:30.702",182.4.134.238,-,vm-director-nginx,30/Aug/2023:05:55:28 +0700,POST /webservice/rest/server.php?moodlewsrestformat=json&wsfunction=core_course_get_contents HTTP/2.0,200,1943,http://localhost/,"Mozilla/5.0 (Linux; Android 11; V2110 Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/116.0.0.0 Mobile Safari/537.36 MoodleMobile 4.2.0 (42000)",-,2023-08-30T05:55:28+07:00,POST,386,2184,http://localhost/,0.12,0,0.111,0.111,10.45.184.142:32401,200,688613607,26,182.4.134.238,192.168.1.99,"[""Impact""]"
1618,"Aug 29, 2023 @ 22:55:34.667",103.171.147.80,-,vm-director-nginx,30/Aug/2023:05:55:33 +0700,GET /.well-known/assetlinks.json HTTP/2.0,404,74,-,"Mozilla/5.0 (Linux; Android 12; SAMSUNG SM-A315G) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/16.0 Chrome/92.0.4515.166 Mobile Safari/537.36",-,2023-08-30T05:55:33+07:00,GET,74,142,-,0.002,0.001,0.002,0.002,10.45.184.148:32442,404,688615811,2,103.171.147.80,192.168.1.99,"[""non-attack""]"
1619,"Aug 29, 2023 @ 22:55:34.692",103.171.147.80,-,vm-director-nginx,30/Aug/2023:05:55:33 +0700,GET /auth/resources/ofl9o/login/ub/ HTTP/2.0,404,118,-,"Mozilla/5.0 (Linux; Android 12; SAMSUNG SM-A315G) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/16.0 Chrome/92.0.4515.166 Mobile Safari/537.36",-,2023-08-30T05:55:33+07:00,GET,65,330,-,0.002,0.001,0.002,0.002,10.45.184.148:32442,404,688615811,3,103.171.147.80,192.168.1.99,"[""non-attack""]"
